"","dates","sp_all","abundance_warm"
"1","1981","Anas platyrhynchos",76218.75
"2","1982","Anas platyrhynchos",88593.75
"3","1983","Anas platyrhynchos",111375
"4","1984","Anas platyrhynchos",192093.75
"5","1985","Anas platyrhynchos",246656.25
"6","1986","Anas platyrhynchos",320625
"7","1987","Anas platyrhynchos",120937.5
"8","1988","Anas platyrhynchos",210375
"9","1989","Anas platyrhynchos",168750
"10","1990","Anas platyrhynchos",244687.5
"11","1991","Anas platyrhynchos",291093.75
"12","1992","Anas platyrhynchos",233437.5
"13","1993","Anas platyrhynchos",244687.5
"14","1994","Anas platyrhynchos",129375
"15","1995","Anas platyrhynchos",230625
"16","1996","Anas platyrhynchos",241875
"17","1997","Anas platyrhynchos",143437.5
"18","1998","Anas platyrhynchos",101531.25
"19","1999","Anas platyrhynchos",135000
"20","2000","Anas platyrhynchos",130781.25
"21","2001","Anas platyrhynchos",111093.75
"22","2002","Anas platyrhynchos",108281.25
"23","2003","Anas platyrhynchos",132187.5
"24","2004","Anas platyrhynchos",140625
"25","2005","Anas platyrhynchos",80156.25
"26","2006","Anas platyrhynchos",177750
"27","2007","Anas platyrhynchos",124312.5
"28","2008","Anas platyrhynchos",197156.25
"29","2009","Anas platyrhynchos",183093.75
"30","2010","Anas platyrhynchos",229218.75
"31","2011","Anas platyrhynchos",254531.25
"32","2012","Anas platyrhynchos",383062.5
"33","2013","Anas platyrhynchos",548156.25
"34","2014","Anas platyrhynchos",247781.25
"35","2015","Anas platyrhynchos",205312.5
"36","1981","Anas acuta",3281.25
"37","1982","Anas acuta",3500
"38","1983","Anas acuta",2187.5
"39","1984","Anas acuta",437.5
"40","1985","Anas acuta",875
"41","1986","Anas acuta",1968.75
"42","1987","Anas acuta",0
"43","1988","Anas acuta",1093.75
"44","1989","Anas acuta",656.25
"45","1990","Anas acuta",437.5
"46","1991","Anas acuta",1312.5
"47","1992","Anas acuta",4593.75
"48","1993","Anas acuta",5031.25
"49","1994","Anas acuta",3937.5
"50","1995","Anas acuta",4375
"51","1996","Anas acuta",6343.75
"52","1997","Anas acuta",4375
