"","dates","sp_all","abundance_cold"
"1","1981","Calidris canutus",4.5
"2","1982","Calidris canutus",31.25
"3","1983","Calidris canutus",14
"4","1984","Calidris canutus",0
"5","1985","Calidris canutus",1.5
"6","1986","Calidris canutus",12
"7","1987","Calidris canutus",27
"8","1988","Calidris canutus",0
"9","1989","Calidris canutus",0
"10","1990","Calidris canutus",3.25
"11","1991","Calidris canutus",0
"12","1992","Calidris canutus",13.25
"13","1993","Calidris canutus",0
"14","1994","Calidris canutus",1.5
"15","1995","Calidris canutus",0
"16","1996","Calidris canutus",0
"17","1997","Calidris canutus",0
"18","1998","Calidris canutus",27.75
"19","1999","Calidris canutus",1.75
"20","2000","Calidris canutus",9.75
"21","2001","Calidris canutus",0
"22","2002","Calidris canutus",27.25
"23","2003","Calidris canutus",12
"24","2004","Calidris canutus",24.5
"25","2005","Calidris canutus",0
"26","2006","Calidris canutus",0
"27","2007","Calidris canutus",4.25
"28","2008","Calidris canutus",23.25
"29","2009","Calidris canutus",12.75
"30","2010","Calidris canutus",26.75
"31","2011","Calidris canutus",130
"32","2012","Calidris canutus",19.25
"33","2013","Calidris canutus",37.75
"34","2014","Calidris canutus",5
"35","2015","Calidris canutus",4.75
"36","1981","Calidris alpina",5442.5
"37","1982","Calidris alpina",8950
"38","1983","Calidris alpina",10825
"39","1984","Calidris alpina",10050
"40","1985","Calidris alpina",2695
"41","1986","Calidris alpina",3350
"42","1987","Calidris alpina",7275
"43","1988","Calidris alpina",525
"44","1989","Calidris alpina",4725
"45","1990","Calidris alpina",2932.5
"46","1991","Calidris alpina",145
"47","1992","Calidris alpina",5075
"48","1993","Calidris alpina",1100
"49","1994","Calidris alpina",100
"50","1995","Calidris alpina",14.5
"51","1996","Calidris alpina",525
"52","1997","Calidris alpina",0
"53","1998","Calidris alpina",1925
"54","1999","Calidris alpina",512.5
"55","2000","Calidris alpina",1131.25
"56","2001","Calidris alpina",112.5
"57","2002","Calidris alpina",422.5
"58","2003","Calidris alpina",612.5
"59","2004","Calidris alpina",1575
"60","2005","Calidris alpina",1200
"61","2006","Calidris alpina",42.5
"62","2007","Calidris alpina",1278.75
"63","2008","Calidris alpina",179.75
"64","2009","Calidris alpina",1032.5
"65","2010","Calidris alpina",1355.5
"66","2011","Calidris alpina",8452.75
"67","2012","Calidris alpina",5383.5
"68","2013","Calidris alpina",2484.5
"69","2014","Calidris alpina",4604
"70","2015","Calidris alpina",3315.75
"71","1981","Calidris ferruginea",0.25
"72","1982","Calidris ferruginea",0
"73","1983","Calidris ferruginea",0.25
"74","1984","Calidris ferruginea",0
"75","1985","Calidris ferruginea",0.75
"76","1986","Calidris ferruginea",0
"77","1987","Calidris ferruginea",0.25
"78","1988","Calidris ferruginea",0
"79","1989","Calidris ferruginea",0
"80","1990","Calidris ferruginea",0
"81","1991","Calidris ferruginea",0
"82","1992","Calidris ferruginea",0
